mcc,mccg,mccg_name
7629,21,Business Services
7699,21,Business Services
5811,22,Miscellaneous Stores
5812,22,Miscellaneous Stores
5231,23,Retail Outlet Services
5331,23,Retail Outlet Services
5441,23,Retail Outlet Services
5462,23,Retail Outlet Services
4812,25,Utility Services
4816,25,Utility Services
4112,26,Transportation Services
4119,26,Transportation Services
4121,26,Transportation Services
4131,26,Transportation Services
4582,26,Transportation Services
4722,26,Transportation Services
4789,26,Transportation Services
7523,26,Business Services
4821,27,Utility Services
4899,27,Utility Services
5039,28,Retail Outlet Services
5046,28,Retail Outlet Services
5047,28,Retail Outlet Services
5065,28,Retail Outlet Services
5085,28,Retail Outlet Services
5111,28,Retail Outlet Services
5131,28,Retail Outlet Services
5137,28,Retail Outlet Services
5193,28,Retail Outlet Services
5198,28,Retail Outlet Services
5199,28,Retail Outlet Services
3000,1,Airlines
3007,1,Airlines
3009,1,Airlines
3012,1,Airlines
3017,1,Airlines
3018,1,Airlines
3032,1,Airlines
3043,1,Airlines
3047,1,Airlines
3048,1,Airlines
3050,1,Airlines
3051,1,Airlines
3056,1,Airlines
3066,1,Airlines
3082,1,Airlines
3103,1,Airlines
3127,1,Airlines
3136,1,Airlines
3175,1,Airlines
3187,1,Airlines
3191,1,Airlines
3206,1,Airlines
3220,1,Airlines
3234,1,Airlines
3261,1,Airlines
3295,1,Airlines
3004,1,Airlines
3021,1,Airlines
3028,1,Airlines
3034,1,Airlines
3075,1,Airlines
3084,1,Airlines
3098,1,Airlines
3100,1,Airlines
3112,1,Airlines
3132,1,Airlines
3144,1,Airlines
3256,1,Airlines
3267,1,Airlines
3294,1,Airlines
7012,2,Miscellaneous Stores
7032,2,Miscellaneous Stores
7033,2,Miscellaneous Stores
7829,2,Business Services
7911,2,Business Services
7922,2,Business Services
7929,2,Business Services
7932,2,Business Services
7933,2,Business Services
7991,2,Business Services
7996,2,Business Services
7999,2,Business Services
8651,3,Professional Services and Membership Organizations
8661,3,Professional Services and Membership Organizations
8675,3,Professional Services and Membership Organizations
8699,3,Professional Services and Membership Organizations
3351,4,Car Rental
3357,4,Car Rental
3364,4,Car Rental
3387,4,Car Rental
3389,4,Car Rental
3390,4,Car Rental
3393,4,Car Rental
3395,4,Car Rental
3441,4,Car Rental
3352,4,Car Rental
3354,4,Car Rental
3386,4,Car Rental
3412,4,Car Rental
5013,5,Retail Outlet Services
5521,5,Retail Outlet Services
5533,5,Retail Outlet Services
5551,5,Retail Outlet Services
7311,6,Business Services
7333,6,Business Services
7338,6,Business Services
7372,6,Business Services
7375,6,Business Services
7394,6,Business Services
7395,6,Business Services
7399,6,Business Services
7513,6,Business Services
7342,6,Business Services
2842,7,Contracted Services
5631,8,Clothing Stores
5651,8,Clothing Stores
5655,8,Clothing Stores
5697,8,Clothing Stores
5699,8,Clothing Stores
742,9,Agricultural Services
780,9,Agricultural Services
1771,9,Contracted Services
8211,10,Professional Services and Membership Organizations
8220,10,Professional Services and Membership Organizations
8244,10,Professional Services and Membership Organizations
9211,12,Government Services
9222,12,Government Services
9399,12,Government Services
9405,12,Government Services
742,1,Agricultural Services
1711,2,Contracted Services
2741,2,Contracted Services
3502,5,Lodging
3503,5,Lodging
3509,5,Lodging
3513,5,Lodging
3530,5,Lodging
3533,5,Lodging
3543,5,Lodging
3548,5,Lodging
3565,5,Lodging
3581,5,Lodging
3583,5,Lodging
3591,5,Lodging
3628,5,Lodging
3638,5,Lodging
3655,5,Lodging
3687,5,Lodging
3693,5,Lodging
3722,5,Lodging
3770,5,Lodging
4011,6,Transportation Services
4111,6,Transportation Services
4214,6,Transportation Services
4225,6,Transportation Services
4511,6,Transportation Services
4582,6,Transportation Services
4812,7,Utility Services
